Punctuation,train_all,synthetic,Total,% in train_all,% synthetic
!,3530,4029,7559,46.7%,53.3%
! -,334,3785,4119,8.1%,91.9%
"!""",731,880,1611,45.4%,54.6%
"!"" -",353,1075,1428,24.7%,75.3%
"""",290361,290652,581013,50.0%,50.0%
""" -",4907,4929,9836,49.9%,50.1%
"""!",70,70,140,50.0%,50.0%
"""""",1067,1067,2134,50.0%,50.0%
""",",33656,33740,67396,49.9%,50.1%
""", -",29607,30093,59700,49.6%,50.4%
""".",50652,51902,102554,49.4%,50.6%
"""?",256,261,517,49.5%,50.5%
",",906621,939953,1846574,49.1%,50.9%
", """,7717,7721,15438,50.0%,50.0%
", -",14879,23275,38154,39.0%,61.0%
-,83232,86510,169742,49.0%,51.0%
"- """,3265,3275,6540,49.9%,50.1%
.,614422,626813,1241235,49.5%,50.5%
". """,41766,41868,83634,49.9%,50.1%
. -,17179,29169,46348,37.1%,62.9%
:,46471,46889,93360,49.8%,50.2%
": """,6585,7639,14224,46.3%,53.7%
;,6923,8232,15155,45.7%,54.3%
?,6767,6980,13747,49.2%,50.8%
? -,4870,7880,12750,38.2%,61.8%
"?""",526,554,1080,48.7%,51.3%
"?"" -",445,957,1402,31.7%,68.3%
